Title,Release Year,Director,Genre,Box Office
Star Wars,1977,George Lucas,Sci-Fi,775.4
Jaws,1975,Steven Spielberg,Horror,470.7
Indiana Jones and the Raiders of the Lost Ark,1981,Steven Spielberg,Action,389.9
Ghostbusters,1984,Ivan Reitman,Comedy,295.2
Back to the Future,1985,Robert Zemeckis,Sci-Fi,381.1
The Godfather,1972,Francis Ford Coppola,Drama,245
The Lion King,1994,Roger Allers and Rob Minkoff,Adventure,987.5
Forrest Gump,1994,Robert Zemeckis,Drama,677.4
The Dark Knight,2008,Christopher Nolan,Action,1005
Avatar,2009,James Cameron,Sci-Fi,2787.8
The Avengers,2012,Joss Whedon,Action,1518.8
The Hunger Games,2012,Gary Ross,Action,694.4
Mad Max: Fury Road,2015,George Miller,Action,378.9
Wonder Woman,2017,Patty Jenkins,Action,821.8
Black Panther,2018,Ryan Coogler,Action,1346.9
Joker,2019,Todd Phillips,Drama,1074.3
